source,id,name,tox,smiles
DILI,4908,primaquine,0,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
LiverTox,5281040,Montelukast,1,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O
LiverTox,548887,Sulindac,1,CCCC=CC=CCCCCCC=C
LiverTox,657309,Ipratropium,0,CC(C)[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
DILI,5280452,piroxicam,1,CN1/C(=C(\NC2=CC=CC=N2)/O)/C(=O)C3=CC=CC=C3S1(=O)=O
DILI,216239,sorafenib,1,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
DILI,23663956,divalproexsodium,1,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DILI,9294,ephedrine,0,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC
DILI,8593,cinchophen,1,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O
DILI,4158,methylphenidate,1,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
DILI,3779,isoproterenol,0,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
DILI,4205,mirtazapine,1,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
DILI,1130,thiamine,0,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
DILI,24477,sodiumthiosulfate,0,[O-]S(=O)(=S)[O-].[Na+].[Na+]
DILI,6249,ampicillin,1,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C
LiverTox,41774,Acarbose,1,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
DILI,439542,bacitracin,0,CCC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H](C(C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C2CN=C(S2)[C@H](C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
DILI,51263,alfentanil,0,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
LiverTox,2662,Celecoxib,1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
DILI,4192,midazolam,0,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
LiverTox,54671203,Doxycycline,1,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DILI,208902,ramelteon,0,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3
DILI,5284525,carboprosttromethamine,0,CCCCC[C@@](C)(/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C/CCCC(=O)O)O)O)O
DILI,22879211,pegfilgrastim,0,CN(C)C1=CC(=C(C=C1)OC)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3
LiverTox,2375,Bicalutamide,1,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
LiverTox,5426,Thalidomide,1,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
DILI,51634,miglustat,0,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O
DILI,5994,progesterone,1,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
LiverTox,10220503,Tasimelteon,0,CCC(=O)NC[C@@H]1C[C@H]1C2=C3CCOC3=CC=C2
LiverTox,3034010,Orlistat,0,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
DILI,64139,efavirenz,1,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
LiverTox,3331,Felbamate,1,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
LiverTox,5284603,Oxycodone,0,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
DILI,3053,penteticacid,0,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
LiverTox,135398735,Rifampin,1,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
DILI,2771,citalopram,1,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
DILI,3085017,sevelamer,0,C=CCN.C1C(O1)CCl
DILI,4919,procyclidine,0,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
DILI,124087,desloratadine,1,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
DILI,4679,pantoprazole,1,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
DILI,464205,tenofovir,1,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O
LiverTox,23978,Copper,1,[Cu]
DILI,441203,cisplatin,1,N.N.Cl[Pt+2]Cl
DILI,11953884,nystatin,0,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)C(=O)O)O)O)N)O
LiverTox,3878,Lamotrigine,1,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
